nasdaq_Date,nasdaq_Open,nasdaq_High,nasdaq_Low,nasdaq_Close,nasdaq_Adj_Close,nasdaq_Volume,gold_Name,gold_US dollar,gold_Euro,gold_Japanese yen,gold_Pound sterling,gold_Canadian dollar,gold_Swiss franc,gold_Indian rupee,gold_Chinese renmimbi,gold_Turkish lira,gold_Saudi riyal,gold_Indonesian rupiah,gold_UAE dirham,gold_Thai baht,gold_Vietnamese dong,gold_Egyptian pound,gold_Korean won,gold_Russian ruble,gold_South African rand,gold_Australian dollar,btc_Date,btc_Unix_Timestamp,btc_Symbol,btc_Open,btc_High,btc_Low,btc_Close,btc_Volume_btc,btc_Volume_USDT,eth_Date,eth_Unix_Timestamp,eth_Symbol,eth_Open,eth_High,eth_Low,eth_Close,eth_Volume_btc,eth_Volume_USDT
7/17/2017,6320.350098,6330.970215,6307.339844,6314.430176,6314.430176,1558030000,17-Jul,"1,234.10","1,075.80","139,212.60",944.3,"1,560.80","1,188.40","79,439.00","8,354.70","4,360.10","4,628.20","16,447,465.80","4,532.80","41,615.70","28,045,536.20","22,152.10","1,392,373.20","73,182.10","15,944.60","1,578.60",,,,,,,,,,,,,,,,,,
7/18/2017,6304.819824,6344.549805,6291.069824,6344.310059,6344.310059,1762400000,18-Jul,"1,240.80","1,071.30","138,734.50",953,"1,567.10","1,182.40","79,823.60","8,385.00","4,375.60","4,653.10","16,508,178.80","4,557.30","41,689.20","28,200,386.40","22,271.50","1,393,610.30","73,393.50","16,041.40","1,565.20",,,,,,,,,,,,,,,,,,
7/19/2017,6363.240234,6387.72998,6362.189941,6385.040039,6385.040039,1862910000,19-Jul,"1,242.20","1,078.40","138,748.10",952.5,"1,564.60","1,185.50","79,901.30","8,391.30","4,372.90","4,658.20","16,544,194.60","4,562.40","41,753.60","28,237,172.70","22,296.60","1,392,015.20","73,369.90","16,064.10","1,564.50",,,,,,,,,,,,,,,,,,
7/20/2017,6396.459961,6398.259766,6365.680176,6390,6390,1818880000,20-Jul,"1,238.70","1,064.70","138,455.70",954,"1,554.70","1,178.40","79,816.20","8,384.00","4,363.20","4,645.50","16,509,393.00","4,549.70","41,719.40","28,159,985.30","22,160.30","1,394,218.50","72,944.00","16,121.70","1,556.10",,,,,,,,,,,,,,,,,,
7/21/2017,6383.049805,6388.779785,6365.120117,6387.75,6387.75,1797100000,21-Jul,"1,248.60","1,071.10","138,745.10",961.2,"1,563.90","1,182.90","80,317.60","8,450.10","4,417.90","4,682.10","16,622,567.80","4,585.90","41,764.00","28,386,404.10","22,305.30","1,396,190.80","73,918.80","16,160.20","1,577.40",,,,,,,,,,,,,,,,,,
7/22/2017,,,,,,,22-Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/23/2017,,,,,,,23-Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2017,6387.819824,6417.700195,6380.609863,6410.810059,6410.810059,1735520000,24-Jul,"1,255.60","1,078.30","139,491.60",962.3,"1,570.10","1,187.80","80,769.50","8,475.70","4,467.80","4,708.60","16,708,856.80","4,611.60","41,935.40","28,540,530.40","22,474.30","1,398,682.50","75,453.10","16,282.90","1,582.60",,,,,,,,,,,,,,,,,,
7/25/2017,6407.589844,6425.450195,6396.870117,6412.169922,6412.169922,1925230000,25-Jul,"1,254.40","1,075.60","139,997.30",961.3,"1,571.80","1,190.20","80,763.00","8,468.60","4,469.50","4,704.20","16,716,133.10","4,607.30","41,972.20","28,515,645.80","22,453.80","1,399,094.80","75,400.40","16,351.10","1,579.40",,,,,,,,,,,,,,,,,,
7/26/2017,6425.930176,6432.379883,6416.299805,6422.75,6422.75,1988040000,26-Jul,"1,248.10","1,073.10","139,768.40",956,"1,564.40","1,196.80","80,330.80","8,430.70","4,430.10","4,680.60","16,645,283.70","4,584.30","41,791.40","28,371,181.80","22,341.00","1,400,180.60","74,717.50","16,269.00","1,574.80",,,,,,,,,,,,,,,,,,
7/27/2017,6459.759766,6460.839844,6318.620117,6382.189941,6382.189941,2483560000,27-Jul,"1,261.10","1,081.00","140,751.30",963.8,"1,577.60","1,214.70","80,842.80","8,496.80","4,455.50","4,729.40","16,795,327.90","4,632.00","42,007.20","28,665,430.20","22,573.70","1,403,414.80","74,904.60","16,386.40","1,582.00",,,,,,,,,,,,,,,,,,
7/28/2017,6350.27002,6379.700195,6337.220215,6374.680176,6374.680176,1860770000,28-Jul,"1,264.90","1,076.80","140,347.00",964.2,"1,571.50","1,225.30","81,167.00","8,529.00","4,462.90","4,743.60","16,856,056.10","4,646.00","42,133.80","28,749,277.40","22,616.40","1,419,344.00","75,399.10","16,453.20","1,580.30",,,,,,,,,,,,,,,,,,
7/29/2017,,,,,,,29-Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/2017,,,,,,,30-Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/2017,6394.689941,6396.589844,6338.790039,6348.120117,6348.120117,1891710000,31-Jul,"1,267.60","1,075.10","140,057.90",961.5,"1,585.10","1,223.00","81,314.90","8,529.20","4,466.40","4,753.40","16,888,833.60","4,655.70","42,179.60","28,806,970.60","22,708.20","1,418,451.40","76,257.40","16,723.70","1,587.70",,,,,,,,,,,,,,,,,,
