Date,eth_Unix_Timestamp,eth_Symbol,eth_Open,eth_High,eth_Low,eth_Close,eth_Volume_btc,eth_Volume_USDT
7/17/2017,,,,,,,,
7/18/2017,,,,,,,,
7/19/2017,,,,,,,,
7/20/2017,,,,,,,,
7/21/2017,,,,,,,,
7/22/2017,,,,,,,,
7/23/2017,,,,,,,,
7/24/2017,,,,,,,,
7/25/2017,,,,,,,,
7/26/2017,,,,,,,,
7/27/2017,,,,,,,,
7/28/2017,,,,,,,,
7/29/2017,,,,,,,,
7/30/2017,,,,,,,,
7/31/2017,,,,,,,,
8/1/2017,,,,,,,,
8/2/2017,,,,,,,,
8/3/2017,,,,,,,,
8/4/2017,,,,,,,,
8/5/2017,,,,,,,,
8/6/2017,,,,,,,,
8/7/2017,,,,,,,,
8/8/2017,,,,,,,,
8/9/2017,,,,,,,,
8/10/2017,,,,,,,,
8/11/2017,,,,,,,,
8/12/2017,,,,,,,,
8/13/2017,,,,,,,,
8/14/2017,,,,,,,,
8/15/2017,,,,,,,,
8/16/2017,,,,,,,,
8/17/2017,1502928000,ETHUSDT,303.61,312.18,298.21,302,6155.32,1890017.53
8/18/2017,1503014400,ETHUSDT,302,311.79,283.94,293.96,9392.79,2815460.24
8/19/2017,1503100800,ETHUSDT,293.96,299.9,278,290.91,2140.08,618248.58
8/20/2017,1503187200,ETHUSDT,290.91,300.53,282.85,299.1,2469.49,730800.66
8/21/2017,1503273600,ETHUSDT,299.1,346.52,294.6,323.29,5134.54,1661944.36
8/22/2017,1503360000,ETHUSDT,323.29,330.41,144.21,309.8,7807.91,2408767.25
8/23/2017,1503446400,ETHUSDT,309.8,324.99,309.41,315.74,8532.37,2711275.03
8/24/2017,1503532800,ETHUSDT,315.74,328.04,314.01,323.42,6608.08,2113017.42
8/25/2017,1503619200,ETHUSDT,323.42,338.28,323.42,327.24,7026.71,2321556.04
8/26/2017,1503705600,ETHUSDT,327.24,335.44,323.41,330.79,4821.82,1583578.33
8/27/2017,1503792000,ETHUSDT,330.79,348.13,330.73,348.13,4580.62,1536125.51
8/28/2017,1503878400,ETHUSDT,348.13,351,331.95,346,4230.19,1447042.11
8/29/2017,1503964800,ETHUSDT,346,377.6,346,374.7,2900.75,1054485.89
8/30/2017,1504051200,ETHUSDT,374.7,393.71,362.05,385.93,4331.81,1636125.32
8/31/2017,1504137600,ETHUSDT,385.93,389.36,377.78,384.79,4375.31,1681160.72
9/1/2017,1504224000,ETHUSDT,384.79,394.39,383.18,388.46,4156.84,1618914.43
9/2/2017,1504310400,ETHUSDT,388.46,394.32,320.08,343.14,7919.71,2791543.78
9/3/2017,1504396800,ETHUSDT,343.14,367.28,320.08,341.77,5012.55,1718948.68
9/4/2017,1504483200,ETHUSDT,341.77,344.55,267.94,283.77,6366.69,1893325.25
9/5/2017,1504569600,ETHUSDT,283.77,321.52,235.55,312.09,7840.86,2253410.75
9/6/2017,1504656000,ETHUSDT,312.09,336.34,312.09,335,5243.66,1714528.14
9/7/2017,1504742400,ETHUSDT,335,342.5,320.17,334.49,2977.82,985179.06
9/8/2017,1504828800,ETHUSDT,334.49,335.1,272,302.99,4874.53,1481290.06
9/9/2017,1504915200,ETHUSDT,302.99,307,281.66,296.74,2713.25,805572.88
9/10/2017,1505001600,ETHUSDT,296.74,302.78,261.03,293.5,4060.25,1155244.93
9/11/2017,1505088000,ETHUSDT,293.5,304.98,285.21,297.3,4779.63,1421764.78
9/12/2017,1505174400,ETHUSDT,297.3,316.46,286.01,293.96,5140.78,1562612.65
9/13/2017,1505260800,ETHUSDT,293.96,294.5,257.05,276.91,6341.5,1730175.07
9/14/2017,1505347200,ETHUSDT,276.91,283.77,215,215.21,12488.22,3082667.27
9/15/2017,1505433600,ETHUSDT,215.21,270.93,192,253,14101.49,3291332.29
9/16/2017,1505520000,ETHUSDT,253,271.81,235.51,249.31,10265.41,2621693.27
9/17/2017,1505606400,ETHUSDT,249.31,264.39,239.02,257.55,4589.96,1143692.64
9/18/2017,1505692800,ETHUSDT,257.55,306.22,257.11,294.57,4121.19,1181549.67
9/19/2017,1505779200,ETHUSDT,294.57,300,277.41,284,1858.5,532540.71
9/20/2017,1505865600,ETHUSDT,284,294,275.91,282,1054.54,301038.78
9/21/2017,1505952000,ETHUSDT,282,287,252.1,257,1909.37,515321.69
9/22/2017,1506038400,ETHUSDT,257,272.97,253.01,264,1463.53,382707.68
9/23/2017,1506124800,ETHUSDT,264,286.23,255.11,285.93,2821.68,788085.05
