Date,gold_US dollar,gold_Euro,gold_Japanese yen,gold_Pound sterling,gold_Canadian dollar,gold_Swiss franc,gold_Indian rupee,gold_Chinese renmimbi,gold_US dollar,gold_Turkish lira,gold_Saudi riyal,gold_Indonesian rupiah,gold_UAE dirham,gold_Thai baht,gold_Vietnamese dong,gold_Egyptian pound,gold_Korean won,gold_Euro,gold_Russian ruble,gold_US dollar,gold_South African rand,gold_Chinese renmimbi,gold_Canadian dollar,gold_Australian dollar
7/17/2017,"1,234.10","1,075.80","139,212.60",944.3,"1,560.80","1,188.40","79,439.00","8,354.70","1,234.10","4,360.10","4,628.20","16,447,465.80","4,532.80","41,615.70","28,045,536.20","22,152.10","1,392,373.20","1,075.80","73,182.10","1,234.10","15,944.60","8,354.70","1,560.80","1,578.60"
7/18/2017,"1,240.80","1,071.30","138,734.50",953,"1,567.10","1,182.40","79,823.60","8,385.00","1,240.80","4,375.60","4,653.10","16,508,178.80","4,557.30","41,689.20","28,200,386.40","22,271.50","1,393,610.30","1,071.30","73,393.50","1,240.80","16,041.40","8,385.00","1,567.10","1,565.20"
7/19/2017,"1,242.20","1,078.40","138,748.10",952.5,"1,564.60","1,185.50","79,901.30","8,391.30","1,242.20","4,372.90","4,658.20","16,544,194.60","4,562.40","41,753.60","28,237,172.70","22,296.60","1,392,015.20","1,078.40","73,369.90","1,242.20","16,064.10","8,391.30","1,564.60","1,564.50"
7/20/2017,"1,238.70","1,064.70","138,455.70",954,"1,554.70","1,178.40","79,816.20","8,384.00","1,238.70","4,363.20","4,645.50","16,509,393.00","4,549.70","41,719.40","28,159,985.30","22,160.30","1,394,218.50","1,064.70","72,944.00","1,238.70","16,121.70","8,384.00","1,554.70","1,556.10"
7/21/2017,"1,248.60","1,071.10","138,745.10",961.2,"1,563.90","1,182.90","80,317.60","8,450.10","1,248.60","4,417.90","4,682.10","16,622,567.80","4,585.90","41,764.00","28,386,404.10","22,305.30","1,396,190.80","1,071.10","73,918.80","1,248.60","16,160.20","8,450.10","1,563.90","1,577.40"
7/22/2017,,,,,,,,,,,,,,,,,,,,,,,,
7/23/2017,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2017,"1,255.60","1,078.30","139,491.60",962.3,"1,570.10","1,187.80","80,769.50","8,475.70","1,255.60","4,467.80","4,708.60","16,708,856.80","4,611.60","41,935.40","28,540,530.40","22,474.30","1,398,682.50","1,078.30","75,453.10","1,255.60","16,282.90","8,475.70","1,570.10","1,582.60"
7/25/2017,"1,254.40","1,075.60","139,997.30",961.3,"1,571.80","1,190.20","80,763.00","8,468.60","1,254.40","4,469.50","4,704.20","16,716,133.10","4,607.30","41,972.20","28,515,645.80","22,453.80","1,399,094.80","1,075.60","75,400.40","1,254.40","16,351.10","8,468.60","1,571.80","1,579.40"
7/26/2017,"1,248.10","1,073.10","139,768.40",956,"1,564.40","1,196.80","80,330.80","8,430.70","1,248.10","4,430.10","4,680.60","16,645,283.70","4,584.30","41,791.40","28,371,181.80","22,341.00","1,400,180.60","1,073.10","74,717.50","1,248.10","16,269.00","8,430.70","1,564.40","1,574.80"
